corrida,fecha,idioma,variantes,modelos,fin,rondas,n_votaciones,n_aprobadas,retirados,regla_final,puntos_cubiertos,turnos_truncados,llamadas,forma_de_gobierno,regla_de_decision,regimen_de_propiedad,sistema_economico,resolucion_de_disputas,castigo,salida,principio_distributivo,medicamentos,bote,conflicto_de_recursos_resuelto_por,eje_colectivo_individual,proteccion_ambiental,indice_colectivo,codificador
base_mono_20260913-013751_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-sonnet-4-6,acuerdo,8,6,6,,mayoria_absoluta,9/9,2,93,mixto,mayoria_absoluta,mixta,reparto_por_necesidad,asamblea,graduado,libre_sin_bienes,promedio_con_piso,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.17,claude-opus-5
base_mono_20260913-045341_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-sonnet-4-6,acuerdo,7,5,5,,mayoria_absoluta,9/9,3,83,mixto,mayoria_simple,mixta,mixto,asamblea,graduado,no_decidido,promedio_con_piso,custodia_medica,comun,regla,mas_colectivo_que_individual,reglas_concretas,0.2,claude-opus-5
base_mono_20260913-050228_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-sonnet-4-6,sin_acuerdo,10,1,1,,mayoria_absoluta,2/9,1,77,no_decidido,mayoria_absoluta,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_resuelto,no_decidido,ninguna,,claude-opus-5
deepseek_mono_20260913-140929_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,deepseek-v4-pro,acuerdo,4,4,4,,mayoria_absoluta,9/9,0,56,mixto,mayoria_simple,mixta,mixto,mediacion,no_decidido,libre,por_merito_o_aporte,custodia_medica,uso_regulado,regla,equilibrado,prohibiciones,-0.33,claude-opus-5
deepseek_mono_20260913-233831_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,deepseek-v4-pro,acuerdo,4,2,2,,unanimidad,9/9,0,42,mixto,mayoria_simple,mixta,planificado,arbitro_o_juez,graduado,libre,no_decidido,custodia_medica,uso_regulado,regla,equilibrado,prohibiciones,0.0,claude-opus-5
deepseek_mono_20260914-003217_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,deepseek-v4-pro,acuerdo,5,1,1,,mayoria_simple,9/9,0,41,mixto,mayoria_simple,mixta,otro,asamblea,otro,condicionada,promedio_con_piso,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,principio_general,0.1,claude-opus-5
deepseek_mono_abundancia_20260913-155044_1,2026-09-13,es,RECURSOS=abundancia; HORIZONTE=solos,deepseek-v4-pro,acuerdo,3,2,2,parte 6 (r3),mayoria_simple,9/9,0,32,mixto,mayoria_simple,mixta,reparto_por_necesidad,asamblea,graduado,no_decidido,otro,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.25,claude-opus-5
deepseek_mono_en_20260913-202134_1,2026-09-13,en,RECURSOS=escasez moderada; HORIZONTE=solos,deepseek-v4-pro,acuerdo,2,3,3,,mayoria_simple,9/9,0,33,mixto,mayoria_simple,no_decidido,planificado,otro,graduado,libre,no_decidido,no_decidido,no_decidido,regla,mas_colectivo_que_individual,reglas_concretas,0.0,claude-opus-5
deepseek_mono_escasez_20260913-152400_1,2026-09-13,es,RECURSOS=escasez; HORIZONTE=solos,deepseek-v4-pro,acuerdo,5,3,3,,mayoria_simple,9/9,0,55,asamblea_directa,mayoria_simple,comun,reparto_por_necesidad,asamblea,graduado,libre,promedio_con_piso,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,prohibiciones,0.17,claude-opus-5
fable_mono_20260913-220100_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-fable-5-1,acuerdo,4,5,5,,mayoria_absoluta,9/9,0,60,mixto,mayoria_absoluta,mixta,mixto,otro,graduado,libre,promedio_con_piso,custodia_medica,uso_regulado,regla,equilibrado,prohibiciones,-0.17,claude-opus-5
