corrida,fecha,idioma,variantes,modelos,fin,rondas,n_votaciones,n_aprobadas,retirados,regla_final,puntos_cubiertos,turnos_truncados,llamadas,forma_de_gobierno,regla_de_decision,regimen_de_propiedad,sistema_economico,resolucion_de_disputas,castigo,salida,principio_distributivo,medicamentos,bote,conflicto_de_recursos_resuelto_por,eje_colectivo_individual,proteccion_ambiental,indice_colectivo,codificador
base_mono_20260913-013751_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-sonnet-4-6,acuerdo,8,6,6,,mayoria_absoluta,9/9,2,93,mixto,mayoria_absoluta,mixta,reparto_por_necesidad,escalonada,graduado,libre_sin_bienes,segun_capacidad_y_necesidad,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.33,gpt-5.5-2026-04-23
base_mono_20260913-045341_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-sonnet-4-6,acuerdo,7,5,5,,mayoria_absoluta,9/9,3,83,mixto,doble_umbral,mixta,mixto,escalonada,graduado,no_decidido,otro,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.0,gpt-5.5-2026-04-23
base_mono_20260913-050228_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-sonnet-4-6,sin_acuerdo,10,1,1,,mayoria_absoluta,2/9,1,77,no_decidido,mayoria_absoluta,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_resuelto,no_decidido,ninguna,,gpt-5.5-2026-04-23
deepseek_mono_20260913-140929_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,deepseek-v4-pro,acuerdo,4,4,4,,mayoria_absoluta,9/9,0,56,mixto,doble_umbral,mixta,planificado,escalonada,otro,libre,por_merito_o_aporte,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,-0.17,gpt-5.5-2026-04-23
deepseek_mono_20260913-233831_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,deepseek-v4-pro,acuerdo,4,2,2,,unanimidad,9/9,0,42,mixto,doble_umbral,mixta,planificado,otro,graduado,libre,no_decidido,custodia_medica,uso_regulado,regla,equilibrado,prohibiciones,0.0,gpt-5.5-2026-04-23
deepseek_mono_20260914-003217_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,deepseek-v4-pro,acuerdo,5,1,1,,mayoria_simple,9/9,0,41,mixto,mayoria_simple,mixta,otro,otro,otro,condicionada,otro,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,principio_general,0.12,gpt-5.5-2026-04-23
deepseek_mono_abundancia_20260913-155044_1,2026-09-13,es,RECURSOS=abundancia; HORIZONTE=solos,deepseek-v4-pro,acuerdo,3,2,2,parte 6 (r3),mayoria_simple,9/9,0,32,mixto,mayoria_simple,mixta,mixto,escalonada,graduado,no_decidido,segun_capacidad_y_necesidad,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.2,gpt-5.5-2026-04-23
deepseek_mono_en_20260913-202134_1,2026-09-13,en,RECURSOS=escasez moderada; HORIZONTE=solos,deepseek-v4-pro,acuerdo,2,3,3,,mayoria_simple,9/9,0,33,mixto,mayoria_simple,no_decidido,no_decidido,votacion,graduado,no_decidido,no_decidido,no_decidido,no_decidido,regla,mas_colectivo_que_individual,reglas_concretas,,gpt-5.5-2026-04-23
deepseek_mono_escasez_20260913-152400_1,2026-09-13,es,RECURSOS=escasez; HORIZONTE=solos,deepseek-v4-pro,acuerdo,5,3,3,,mayoria_simple,9/9,0,55,mixto,doble_umbral,comun,reparto_por_necesidad,asamblea,graduado,libre,segun_capacidad_y_necesidad,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,prohibiciones,0.33,gpt-5.5-2026-04-23
fable_mono_20260913-220100_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-fable-5-1,acuerdo,4,5,5,,mayoria_absoluta,9/9,0,60,mixto,doble_umbral,mixta,mixto,escalonada,graduado,libre,piso_igual_con_plus_por_aporte,custodia_medica,uso_regulado,regla,equilibrado,reglas_concretas,-0.17,gpt-5.5-2026-04-23
fable_mono_20260914-012919_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-fable-5-1,acuerdo,4,6,6,,mayoria_absoluta,9/9,0,69,mixto,doble_umbral,mixta,mixto,asamblea,graduado,otro,segun_capacidad_y_necesidad,custodia_medica,uso_regulado,mixto,mas_colectivo_que_individual,reglas_concretas,0.2,gpt-5.5-2026-04-23
fable_mono_20260914-014045_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-fable-5-1,acuerdo,3,6,6,,mayoria_absoluta,9/9,0,63,mixto,mayoria_absoluta,mixta,mixto,escalonada,graduado,condicionada,piso_igual_con_plus_por_aporte,custodia_medica,uso_regulado,mixto,mas_colectivo_que_individual,reglas_concretas,0.08,gpt-5.5-2026-04-23
fable_mono_en_20260913-221128_1,2026-09-13,en,RECURSOS=escasez moderada; HORIZONTE=solos,claude-fable-5-1,acuerdo,3,4,4,,mayoria_absoluta,9/9,1,46,mixto,doble_umbral,mixta,mixto,escalonada,graduado,libre,piso_igual_con_plus_por_aporte,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,prohibiciones,-0.17,gpt-5.5-2026-04-23
gemini_mono_20260913-140248_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,3,3,3,,mayoria_absoluta,9/9,0,39,mixto,mayoria_absoluta,comun,planificado,asamblea,graduado,libre,segun_capacidad_y_necesidad,otro,uso_regulado,regla,mas_colectivo_que_individual,ninguna,0.4,gpt-5.5-2026-04-23
gemini_mono_20260913-233254_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,3,3,3,,mayoria_absoluta,9/9,0,36,mixto,mayoria_absoluta,mixta,mixto,arbitro_o_juez,otro,no_decidido,otro,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.0,gpt-5.5-2026-04-23
gemini_mono_20260914-002350_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,3,4,2,,mayoria_absoluta,9/9,0,49,mixto,mayoria_absoluta,comun,otro,asamblea,otro,prohibida,no_decidido,otro,uso_regulado,regla,colectivo,reglas_concretas,0.67,gpt-5.5-2026-04-23
gemini_mono_abundancia_20260913-151550_1,2026-09-13,es,RECURSOS=abundancia; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,3,4,3,,mayoria_absoluta,9/9,0,45,mixto,mayoria_absoluta,comun,planificado,asamblea,otro,no_decidido,otro,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.5,gpt-5.5-2026-04-23
gemini_mono_en_20260913-175054_1,2026-09-13,en,RECURSOS=escasez moderada; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,4,2,2,,mayoria_absoluta,9/9,0,37,mixto,mayoria_absoluta,comun,planificado,votacion,privacion_de_bienes,no_decidido,segun_capacidad_y_necesidad,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.6,gpt-5.5-2026-04-23
gemini_mono_escasez_20260913-150856_1,2026-09-13,es,RECURSOS=escasez; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,3,2,2,,mayoria_absoluta,9/9,0,29,mixto,mayoria_absoluta,privada,otro,asamblea,otro,libre,no_decidido,custodia_medica,uso_regulado,regla,mas_individual_que_colectivo,ninguna,-0.5,gpt-5.5-2026-04-23
gemini_mono_horizonte_20260913-150213_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=otra población a la vista,gemini-3.1-pro-preview,acuerdo,3,3,3,,mayoria_absoluta,9/9,0,36,mixto,mayoria_absoluta,comun,planificado,asamblea,graduado,no_decidido,no_decidido,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,otro,0.5,gpt-5.5-2026-04-23
glm_razmin_mono_20260914-100115_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,z-ai/glm-5.3,acuerdo,8,7,7,,mayoria_simple,9/9,1,101,mixto,mayoria_simple,mixta,mixto,escalonada,graduado,libre_sin_bienes,piso_igual_con_plus_por_aporte,custodia_medica,uso_regulado,regla,equilibrado,prohibiciones,0.0,gpt-5.5-2026-04-23
grok_mono_20260913-022829_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,grok-4.6,acuerdo,7,2,2,,mayoria_absoluta,9/9,0,59,mixto,mayoria_absoluta,comun,planificado,votacion,graduado,libre_sin_bienes,segun_capacidad_y_necesidad,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.5,gpt-5.5-2026-04-23
grok_mono_20260913-093911_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,grok-4.6,acuerdo,7,3,1,,mayoria_absoluta,9/9,0,64,asamblea_directa,mayoria_absoluta,comun,planificado,votacion,otro,libre_sin_bienes,segun_capacidad_y_necesidad,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.5,gpt-5.5-2026-04-23
